alumno_id,materia_id,fecha,presente
1,M01,2024-03-04,1
1,M01,2024-03-11,1
1,M01,2024-03-18,0
1,M01,2024-03-25,1
2,M01,2024-03-04,1
2,M01,2024-03-11,0
2,M01,04/03/2024,1
2,M01,2024-03-25,1
3,M03,2024-03-04,1
3,M03,2024-03-11,1
3,M03,2024-03-18,1
3,M03,2024-03-25,0
4,M03,2024-03-04,si
4,M03,2024-03-11,1
4,M03,2024-03-18,no
4,M03,2024-03-25,1
5,M06,2024-03-04,1
5,M06,2024-03-11,1
5,M06,2024-03-18,1
5,M06,2024-03-25,0
6,M06,2024-03-04,1
6,M06,2024-03-11,
6,M06,2024-03-18,1
6,M06,2024-03-25,1
7,M01,2024-03-04,1
7,M01,2024-03-11,1
7,M01,2024-03-18,0
7,M01,2024-03-25,0
8,M01,2024-03-04,1
8,M01,2024-03-11,1
9,M05,2024-03-04,1
9,M05,2024-03-11,0
9,M05,2024-03-18,0
9,M05,2024-03-25,1
10,M06,2024-03-04,0
10,M06,2024-03-18,0
10,M06,2024-03-18,0
10,M06,2024-03-25,0
11,M01,2024-03-04,1
11,M01,2024-03-11,1
12,M01,2024-03-04,1
12,M01,2024-03-11,1
12,M01,2024-03-18,1
12,M01,2024-03-25,1
13,M03,2024-03-04,1
13,M03,2024-03-11,0
14,M06,2024-03-04,1
14,M06,2024-03-25,1
15,M05,2024-03-04,1
15,M05,2024-03-11,1
15,M05,2024-03-18,-1
15,M05,2024-03-25,1
1,M01,2024-03-04,1
3,M03,2024-03-11,1
16,M03,2024-03-04,1
16,M03,2024-03-11,1
16,M03,2024-03-18,0
17,M06,2024-03-04,1
17,M06,2024-03-11,1
17,M09,2024-03-18,1
4,M04,2024-11-03,0
12,M09,2024-11-14,1
1,M03,2025-07-05,1
14,M02,2025-07-26,1
16,M13,2025-08-19,1
30,M02,09-09-2024,si
27,M12,2026-10-21,1
21,M05,2027-11-11,si
5,M07,2024-08-07,0
59,M03,2025-09-19,1
18,M02,21/05/2024,1
77,M07,2025-11-09,
15,M09,10/04/2025,1
34,M06,2024-07-27,0
20,M03,2024-08-16,1
40,M04,24-04-2024,1
17,M08,2027-05-17,NO
70,M12,2025-09-22,0
67,M04,2025-03-19,0
1,M11,2024-03-28,1
36,M04,2025-06-26,1
13,M07,2025-10-28,0
13,M12,2024-06-07,1
55,M08,2024-10-26,no
70,M02,2027-03-14,1
52,M03,2025-07-26,0
72,M08,2025-06-02,0
41,M10,2024-03-17,1
77,M14,2024-06-19,0
54,M10,2025-06-22,0
51,M11,2025-04-01,1
13,M04,2024-08-03,NO
57,M12,2024-11-10,-1
18,M15,2024-07-10,0
27,M14,2025-07-28,1
36,M06,24/05/2025,1
72,M02,2027-09-02,sí
56,M05,2024-08-07,0
46,M15,28-06-2024,0
53,M12,2099-11-28,0
21,M02,2024-10-08,1
45,M13,22-03-2024,1
36,M09,2025-03-04,NO
34,M10,2025-09-20,-1
74,M01,26/11/2024,0
26,M02,2028-10-11,0
39,M11,2025-07-18,1
49,M15,2025-09-18,SI
56,M10,2025-10-15,0
22,M05,2025-04-27,ausente
29,M03,2024-10-20,si
74,M12,2025-06-05,0
14,M04,2025-03-18,1
59,M08,2025-10-20,sí
71,M03,09/10/2025,0
36,M09,2024-07-15,1
35,M15,2024-05-08,1
28,M07,2025-09-02,1
75,M01,2025/10/01,1
54,M12,2024-10-08,1
50,M11,05/10/2024,null
51,M11,2025-05-28,1
49,M08,2025-07-25,tal vez
11,M12,2025-06-21,1
6,M04,2024-05-08,1
73,M08,2025-05-20,0
15,M03,2026-10-01,presente
49,M12,2024-04-23,0
77,M13,2026-06-18,1
65,M01,2025/04/14,0
20,M12,2025-11-25,1
76,M14,2024-07-15,1
79,M06,2025-05-16,1
44,M10,01/11/2025,0
31,M08,2024-10-21,0
3,M04,2024-07-22,0
68,M12,2025-10-09,1
25,M12,2024-06-07,0
76,M04,2024-06-10,1
2,M03,2024-11-10,0
63,M01,2025-10-15,1
33,M08,2024-09-16,1
7,M13,2025-04-08,1
78,M10,2025-10-15,1
